DI,COUNTRY_CODE,NUTS_LEVEL,NUTS_CODE,NDW_CP1,NDW_CP2,NDW_CP3,NDW_CP4,NDW_CP5,NDW_CP6,NDW_CP7,NDW_CP8,NDW_CP9,NDW_RES1,NDW_RES2,NDW_RES3,NDW_NRES,NDW_total,GFA_RES,GFA_NRES,Energy_RES,Energy_NRES
0.0000,100.0000,3.0000,0.0000,2.0898,7.0007,19.7482,18.9123,21.3709,21.3709,5.3082,1.5053,2.6937,54772.7930,6921.2583,29802.9453,0.0000,91497.0000,4.0865,1.5773,562.9477,156.8989
0.0000,100.0000,3.0000,0.0000,0.7239,7.7559,21.8199,20.9926,20.8657,20.8657,4.6509,0.8252,1.5003,40573.9453,4248.8223,26346.2344,0.0000,71169.0000,3.0373,1.1257,418.4319,108.9158
0.0000,100.0000,3.0000,0.0000,0.8151,8.0495,16.9141,19.5633,22.7411,22.7411,5.3975,1.2337,2.5445,85557.8281,8829.1729,79316.9922,0.0000,173704.0000,8.1351,3.3882,1120.7208,353.6015
0.0000,100.0000,1.0000,0.0000,1.2000,7.1000,15.1000,17.5000,22.6000,20.6000,7.4000,2.6000,6.0000,688925.0000,159353.0000,961631.0000,0.0000,1809909.0000,86.6472,54.8755,11936.9092,6875.7778
0.0000,100.0000,2.0000,0.0000,1.2000,7.1000,12.7000,16.3000,22.6000,21.9000,7.8000,3.1000,7.4000,365641.0000,81571.0000,657429.0000,0.0000,1104641.0000,53.9521,40.9446,7432.7168,5402.9492
0.0000,100.0000,3.0000,0.0000,0.4140,5.3825,9.0054,15.2159,24.6951,24.6951,7.6485,3.6141,9.3294,82570.0156,24904.9082,499192.0625,0.0000,606667.0000,31.5136,33.2615,4341.4893,4702.8564
0.0000,100.0000,3.0000,0.0000,2.4069,11.0500,19.1460,19.3648,20.2271,20.2271,4.7862,1.1966,1.5954,134670.3438,17814.6289,24223.0293,0.0000,176708.0000,7.7330,2.6123,1065.3469,235.4085
0.0000,100.0000,3.0000,0.0000,0.8472,6.5656,16.5199,20.8616,20.8032,20.8032,6.2574,2.3361,5.0059,62579.5898,25734.0312,51552.3867,0.0000,139866.0000,7.2024,2.7323,992.2318,268.7911
0.0000,100.0000,3.0000,0.0000,2.7237,10.2663,18.7517,16.4470,22.8761,22.8761,4.4334,0.6650,0.9606,58286.1484,7896.0767,28817.7734,0.0000,95000.0000,3.9288,1.1943,541.2794,97.5405
0.0000,100.0000,3.0000,0.0000,3.4261,13.4902,21.4131,21.0919,17.6084,17.6084,3.7460,0.7345,0.8814,51865.7500,11559.5371,22974.7129,0.0000,86400.0000,3.5738,1.1440,492.3698,98.3537
0.0000,100.0000,2.0000,0.0000,1.2000,7.0000,18.8000,19.5000,22.5000,18.7000,6.7000,1.9000,3.8000,323284.0000,77782.0000,304202.0000,0.0000,705268.0000,32.6947,13.9309,4504.1938,1472.8292
0.0000,100.0000,3.0000,0.0000,0.8703,7.2890,17.2977,21.4318,19.6606,19.6606,7.1091,2.1413,4.5395,132955.3438,28192.9785,156890.6875,0.0000,318039.0000,14.7777,7.2563,2035.8613,824.6332
0.0000,100.0000,3.0000,0.0000,0.6379,8.8239,26.0466,18.9236,19.1485,19.1485,4.2543,1.0056,2.0111,67433.1562,8513.8369,45772.0078,0.0000,121719.0000,5.1492,2.1296,709.3716,221.3724
0.0000,100.0000,3.0000,0.0000,1.2734,8.2772,21.7542,21.1175,19.4198,19.4198,5.1634,1.4299,2.1448,72867.1016,19654.8555,33228.0352,0.0000,125750.0000,6.1877,2.2595,852.4171,216.4020
0.0000,100.0000,3.0000,0.0000,3.6597,7.0058,21.4357,20.8083,20.7933,20.7933,3.6934,0.5794,1.2311,24042.0605,18793.7500,22649.1855,0.0000,65485.0000,3.2939,1.1009,453.7492,98.2675
0.0000,100.0000,3.0000,0.0000,1.8136,5.5476,19.0964,21.7635,23.0827,23.0827,2.4374,0.6648,2.5113,45984.4922,7300.7266,20989.7773,0.0000,74275.0000,3.2866,1.1839,452.7951,112.1557
0.0000,100.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,100.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,100.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,203.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,370.7449,108.4391,55003.9609,24489.9844
0.0000,203.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,370.7449,108.4391,55003.9609,24489.9844
0.0000,203.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,46.1608,29.3532,6966.4839,7942.9170
